ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
1689697210.594509	CoHgC3ShzKtq5iea5	192.168.144.131	61052	192.168.144.133	700	tcp	-	0.000021	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.594528	CSeNc23R4tR9EscNCb	192.168.144.131	61052	192.168.144.133	50500	tcp	-	0.000002	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.594533	CrH8ZD2boTpMbZS1Y9	192.168.144.131	61052	192.168.144.133	2068	tcp	-	-	-	-	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.594529	C5R09w3v0o1b9CbTed	192.168.144.131	61052	192.168.144.133	64680	tcp	-	0.000004	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.594533	CvjXzZ2qpC6LhygFu3	192.168.144.131	61052	192.168.144.133	49400	tcp	-	-	-	-	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.594529	CGIlNl1YNurD31YmU5	192.168.144.131	61052	192.168.144.133	50300	tcp	-	0.000004	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.594533	CDCa6vEp2XB2MfbW6	192.168.144.131	61052	192.168.144.133	34571	tcp	-	0.000024	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.594558	CShdUp1IYaM9bW4zxl	192.168.144.131	61052	192.168.144.133	616	tcp	-	-	-	-	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.594534	CgFZygT9orQLlTFIl	192.168.144.131	61052	192.168.144.133	44443	tcp	-	0.000024	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.594558	CFtB2C1mxxLdSQlJfa	192.168.144.131	61052	192.168.144.133	1095	tcp	-	0.000111	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.594905	CeUGiKfvR8rkgo7x6	192.168.144.131	61052	192.168.144.133	1187	tcp	-	0.000222	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.595017	CNFFGb1kiMHo1rZR56	192.168.144.131	61052	192.168.144.133	2160	tcp	-	0.000110	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.595126	CocuuL17USc8GthKkc	192.168.144.131	61052	192.168.144.133	30000	tcp	-	0.000113	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.595627	CIfG5y4X4Pqmi4ASEh	192.168.144.131	61052	192.168.144.133	5500	tcp	-	0.000126	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.595626	Clfb4c1YQODBmH4JA3	192.168.144.131	61052	192.168.144.133	50001	tcp	-	0.000127	0	0	RSTRH	T	T	0	r	1	40	1	40	-
1689697210.595752	CQ5iXd1QvQzJcnTMm4	192.168.144.131	61052	192.168.144.133	631	tcp	-	0.000117	0	0	RSTRH	T	T	0	r	1	40	1	40	-
