ts	id	hashAlgorithm	issuerNameHash	issuerKeyHash	serialNumber	certStatus	revoketime	revokereason	thisUpdate	nextUpdate
1689231965.850682	FG9abR3bOEFhYfX2Bb	sha1	48DAC9A0FB2BD32D4FF0DE68D2F567B735F9B3C4	142EB317B75856CBAE500940E61FAF9D8B14C2C6	035490470A0ABAFF6ED266F9F9A4709A09F1	good	-	-	1689044400.000000	1689649198.000000
1689231969.962245	Fl9cvD2EfSsHnUReV1	sha1	48DAC9A0FB2BD32D4FF0DE68D2F567B735F9B3C4	142EB317B75856CBAE500940E61FAF9D8B14C2C6	038125D15BF63260B5CF5C51779F947A726F	good	-	-	1689019200.000000	1689623998.000000
1689231969.979828	F3pKC81NXg5qoD5BR2	sha1	48DAC9A0FB2BD32D4FF0DE68D2F567B735F9B3C4	142EB317B75856CBAE500940E61FAF9D8B14C2C6	038125D15BF63260B5CF5C51779F947A726F	good	-	-	1689019200.000000	1689623998.000000
1689231969.993085	F6SHWYfJQsv5BtLo	sha1	48DAC9A0FB2BD32D4FF0DE68D2F567B735F9B3C4	142EB317B75856CBAE500940E61FAF9D8B14C2C6	038125D15BF63260B5CF5C51779F947A726F	good	-	-	1689019200.000000	1689623998.000000
1689231971.728847	F9l44N36lV8JcJ8KHj	sha1	C72E798ADDFF6134B3BAED4742B8BBC6C0240763	8A747FAF85CDEE95CD3D9CD0E24614F371351D27	BBA2F6011327B8B012A3CC3D9E8A659D	good	-	-	1689147744.000000	1689748943.000000
1689231971.728911	FeqbMdLpf02PNCRGd	sha1	C72E798ADDFF6134B3BAED4742B8BBC6C0240763	8A747FAF85CDEE95CD3D9CD0E24614F371351D27	BBA2F6011327B8B012A3CC3D9E8A659D	good	-	-	1689147744.000000	1689748943.000000
1689231973.221795	FurFjh1v2GHkf5mc69	sha1	CF26F518FAC97E8F8CB342E01C2F6A109E8E5F0A	5168FF90AF0207753CCCD9656462A212B859723B	0E5FA778E82DBEE6AA1CD57E2F5CD610	good	-	-	1689206582.000000	1689808682.000000
1689231973.254332	Fg0FF11Upfx5uP7I19	sha1	C72E798ADDFF6134B3BAED4742B8BBC6C0240763	8A747FAF85CDEE95CD3D9CD0E24614F371351D27	716A1AF7195B896E102FA3EF876D25B6	good	-	-	1689149637.000000	1689750836.000000
1689231973.266390	FVVB4A1GsVizRl5Tff	sha1	C72E798ADDFF6134B3BAED4742B8BBC6C0240763	8A747FAF85CDEE95CD3D9CD0E24614F371351D27	1630EA2633AF87290A5978D477A7B1DE	good	-	-	1689147304.000000	1689748503.000000
1689231973.305458	Fna8uF2ShKiFSwqaOa	sha1	C72E798ADDFF6134B3BAED4742B8BBC6C0240763	8A747FAF85CDEE95CD3D9CD0E24614F371351D27	1630EA2633AF87290A5978D477A7B1DE	good	-	-	1689147304.000000	1689748503.000000
1689231973.307815	Fq3cJqD6jJYZDfSFa	sha1	C72E798ADDFF6134B3BAED4742B8BBC6C0240763	8A747FAF85CDEE95CD3D9CD0E24614F371351D27	716A1AF7195B896E102FA3EF876D25B6	good	-	-	1689149637.000000	1689750836.000000
1689231973.955918	FFmcYO2OTEM9p2Jy4d	sha1	C72E798ADDFF6134B3BAED4742B8BBC6C0240763	8A747FAF85CDEE95CD3D9CD0E24614F371351D27	82F560E5C2A62D12091F2ED8BCF50AA3	good	-	-	1689150968.000000	1689752167.000000
1689231980.916226	FGFtsB1WfpMTwEayn4	sha1	105FA67A80089DB5279F35CE830B43889EA3C70D	0F80611C823161D52F28E78D4638B42CE1C6D9E2	062764BDAC974F2C0A50A86CF3F900A6	good	-	-	1689159422.000000	1689761522.000000
